algs,dataset,weighted,accuracy,precision,recall,fscore,cv_mean,cv_std,runtime
svm,student,False,0.60,0.10,0.17,0.12,0.61,0.02,0.03
svm,student,False,0.63,0.11,0.17,0.13,0.60,0.01,0.03
svm,student,False,0.52,0.09,0.17,0.11,0.59,0.02,0.03
svm,contraceptive,False,0.44,0.41,0.40,0.39,0.53,0.02,0.06
svm,contraceptive,False,0.48,0.45,0.44,0.44,0.53,0.02,0.06
svm,contraceptive,False,0.52,0.52,0.50,0.49,0.53,0.02,0.06
svm,autism,False,0.99,0.98,0.98,0.98,0.99,0.01,0.02
svm,autism,False,0.96,0.98,0.93,0.95,0.98,0.01,0.02
svm,autism,False,0.97,0.98,0.95,0.96,0.99,0.01,0.02
svm,bankruptcy,False,0.94,0.93,0.95,0.94,0.98,0.01,0.01
svm,bankruptcy,False,0.98,0.98,0.98,0.98,0.98,0.01,0.01
svm,bankruptcy,False,0.94,0.94,0.95,0.94,0.99,0.02,0.01
svm,breast_cancer,False,0.96,0.96,0.96,0.96,0.96,0.02,0.01
svm,breast_cancer,False,0.97,0.97,0.97,0.97,0.96,0.02,0.01
svm,breast_cancer,False,0.97,0.96,0.97,0.97,0.96,0.02,0.01
svm,horse,False,0.80,0.77,0.77,0.77,0.84,0.03,0.01
svm,horse,False,0.78,0.76,0.79,0.77,0.84,0.03,0.01
svm,horse,False,0.92,0.92,0.89,0.90,0.84,0.03,0.01
svm,hr,False,0.80,0.90,0.58,0.59,0.96,0.02,0.09
svm,hr,False,0.84,0.90,0.64,0.67,0.96,0.02,0.09
svm,hr,False,0.83,0.89,0.62,0.65,0.96,0.02,0.09
svm,english,False,0.61,0.63,0.61,0.60,0.54,0.10,0.01
svm,english,False,0.55,0.48,0.55,0.48,0.55,0.10,0.01
svm,english,False,0.48,0.47,0.48,0.45,0.53,0.13,0.01
svm,phishing,False,0.84,0.55,0.61,0.58,0.86,0.03,0.03
svm,phishing,False,0.82,0.55,0.58,0.57,0.86,0.02,0.03
svm,phishing,False,0.84,0.56,0.60,0.58,0.86,0.03,0.03
svm,wine,False,0.50,0.15,0.18,0.16,0.52,0.02,0.62
svm,wine,False,0.49,0.17,0.21,0.18,0.52,0.02,0.62
svm,wine,False,0.50,0.16,0.18,0.16,0.52,0.01,0.62
svm,congress,False,0.95,0.95,0.95,0.95,0.95,0.01,0.02
svm,congress,False,0.93,0.93,0.92,0.93,0.95,0.01,0.02
svm,congress,False,0.95,0.95,0.95,0.95,0.95,0.01,0.02
knn,student,False,0.53,0.31,0.23,0.23,0.60,0.01,0.04
knn,student,False,0.52,0.25,0.22,0.22,0.60,0.02,0.04
