algs,dataset,weighted,accuracy,precision,recall,fscore,cv_mean,cv_std,runtime
svm,student,False,0.55,0.09,0.17,0.12,66.23,2.00,0.03
svm,student,False,0.48,0.08,0.17,0.11,66.55,2.02,0.03
svm,student,False,0.58,0.10,0.17,0.12,65.93,2.07,0.03
svm,contraceptive,False,0.50,0.52,0.45,0.42,111.51,1.40,0.06
svm,contraceptive,False,0.47,0.47,0.46,0.45,111.37,1.43,0.06
svm,contraceptive,False,0.47,0.42,0.41,0.39,111.41,0.92,0.06
svm,autism,False,0.97,0.98,0.95,0.96,85.59,0.22,0.02
svm,autism,False,0.97,0.98,0.95,0.97,85.59,0.22,0.02
svm,autism,False,0.98,0.98,0.97,0.97,85.59,0.22,0.02
svm,bankruptcy,False,0.98,0.97,0.98,0.98,25.44,0.36,0.01
svm,bankruptcy,False,0.90,0.90,0.92,0.90,25.41,0.42,0.01
svm,bankruptcy,False,0.88,0.90,0.88,0.88,25.44,0.37,0.01
svm,breast_cancer,False,0.95,0.94,0.95,0.94,76.57,0.85,0.01
svm,breast_cancer,False,0.97,0.97,0.96,0.97,76.63,0.93,0.01
svm,breast_cancer,False,0.97,0.97,0.97,0.97,76.63,1.02,0.01
svm,horse,False,0.90,0.91,0.88,0.89,33.25,0.96,0.01
svm,horse,False,0.85,0.85,0.82,0.83,33.19,0.81,0.01
svm,horse,False,0.77,0.75,0.76,0.76,32.91,0.66,0.01
svm,hr,False,0.85,0.92,0.67,0.72,340.81,16.53,0.09
svm,hr,False,0.84,0.90,0.64,0.67,335.29,5.84,0.09
svm,hr,False,0.83,0.91,0.65,0.68,334.85,4.56,0.08
svm,english,False,0.39,0.40,0.43,0.39,10.01,0.26,0.01
svm,english,False,0.55,0.53,0.56,0.51,10.03,0.22,0.01
svm,english,False,0.45,0.48,0.53,0.45,10.03,0.22,0.01
svm,phishing,False,0.87,0.58,0.62,0.59,124.37,1.94,0.03
svm,phishing,False,0.84,0.56,0.60,0.58,124.60,1.30,0.03
svm,phishing,False,0.85,0.56,0.61,0.59,124.11,1.12,0.03
svm,wine,False,0.53,0.15,0.19,0.16,392.95,5.74,0.61
svm,wine,False,0.51,0.15,0.19,0.16,395.02,6.27,0.62
svm,wine,False,0.52,0.19,0.22,0.19,395.02,6.75,0.62
svm,congress,False,0.82,0.79,0.64,0.66,24.14,1.13,0.02
svm,congress,False,0.66,0.82,0.58,0.53,23.95,1.25,0.02
svm,congress,False,0.80,0.87,0.75,0.76,24.47,0.86,0.02
knn,student,False,0.55,0.28,0.22,0.22,66.62,1.45,0.04
knn,student,False,0.58,0.27,0.22,0.23,66.42,1.53,0.04
knn,student,False,0.50,0.41,0.23,0.25,66.35,1.21,0.04
knn,contraceptive,False,0.50,0.47,0.46,0.46,111.15,1.15,0.08
knn,contraceptive,False,0.49,0.49,0.49,0.48,111.30,1.36,0.08
