algs,dataset,accuracy,precision,recall,fscore,cv_mean,cv_std,runtime
svm knn mnb,student,0.58,0.10,0.17,0.12,66.11,1.69,0.08
svm knn mnb,student,0.58,0.10,0.17,0.12,66.20,1.72,0.07
svm knn mnb,student,0.58,0.10,0.17,0.12,66.10,1.81,0.07
svm knn mnb,contraceptive,0.47,0.43,0.39,0.37,111.08,1.68,0.15
svm knn mnb,contraceptive,0.47,0.43,0.39,0.37,111.27,1.12,0.15
svm knn mnb,contraceptive,0.47,0.43,0.39,0.37,111.53,1.36,0.15
svm knn mnb,autism,0.99,1.00,0.99,0.99,85.68,0.38,0.06
svm knn mnb,autism,0.99,1.00,0.99,0.99,85.59,0.36,0.06
svm knn mnb,autism,0.99,1.00,0.99,0.99,85.68,0.38,0.06
svm knn mnb,bankruptcy,0.98,0.98,0.98,0.98,25.47,0.41,0.02
svm knn mnb,bankruptcy,0.98,0.98,0.98,0.98,25.32,0.57,0.02
svm knn mnb,bankruptcy,0.98,0.98,0.98,0.98,25.38,0.47,0.02
svm knn mnb,breast_cancer,0.97,0.97,0.96,0.97,76.69,0.89,0.05
svm knn mnb,breast_cancer,0.97,0.97,0.96,0.97,76.63,1.02,0.05
svm knn mnb,breast_cancer,0.97,0.97,0.96,0.97,76.57,0.92,0.05
svm knn mnb,horse,0.88,0.87,0.88,0.87,33.19,0.81,0.03
svm knn mnb,horse,0.88,0.87,0.88,0.87,33.24,0.90,0.03
svm knn mnb,horse,0.88,0.87,0.88,0.87,33.19,0.73,0.03
svm knn mnb,hr,0.84,0.90,0.62,0.65,334.08,2.59,0.24
svm knn mnb,hr,0.84,0.90,0.62,0.65,337.17,9.32,0.24
svm knn mnb,hr,0.84,0.90,0.62,0.65,333.42,1.89,0.24
svm knn mnb,english,0.45,0.43,0.50,0.44,10.03,0.22,0.02
svm knn mnb,english,0.45,0.43,0.50,0.44,10.00,0.25,0.02
svm knn mnb,english,0.45,0.43,0.50,0.44,10.02,0.23,0.02
svm knn mnb,phishing,0.84,0.56,0.61,0.58,124.31,1.96,0.11
svm knn mnb,phishing,0.84,0.56,0.61,0.58,124.33,1.60,0.11
svm knn mnb,phishing,0.84,0.56,0.61,0.58,124.22,1.76,0.11
svm knn mnb,wine,0.50,0.17,0.18,0.16,392.72,6.69,0.95
svm knn mnb,wine,0.50,0.17,0.18,0.16,394.08,7.50,0.95
svm knn mnb,wine,0.50,0.17,0.18,0.16,393.58,5.63,0.94
svm knn mnb,congress,0.84,0.86,0.78,0.80,23.95,0.72,0.03
svm knn mnb,congress,0.84,0.86,0.78,0.80,24.22,0.44,0.03
svm knn mnb,congress,0.84,0.86,0.78,0.80,23.65,0.56,0.03
svm knn rf,student,0.69,0.64,0.35,0.36,65.73,2.36,0.14
svm knn rf,student,0.70,0.63,0.37,0.38,65.97,1.94,0.14
svm knn rf,student,0.70,0.64,0.37,0.38,66.14,1.80,0.14
svm knn rf,contraceptive,0.48,0.43,0.42,0.42,111.02,1.14,0.31
svm knn rf,contraceptive,0.48,0.44,0.43,0.43,111.38,1.30,0.30
svm knn rf,contraceptive,0.49,0.44,0.44,0.43,111.86,1.27,0.30
svm knn rf,autism,0.99,1.00,0.99,0.99,85.78,0.38,0.13
svm knn rf,autism,0.99,1.00,0.99,0.99,85.78,0.24,0.13
svm knn rf,autism,0.99,1.00,0.99,0.99,85.68,0.25,0.13
svm knn rf,bankruptcy,0.98,0.98,0.98,0.98,25.47,0.33,0.05
svm knn rf,bankruptcy,0.98,0.98,0.98,0.98,25.47,0.33,0.05
svm knn rf,bankruptcy,0.98,0.98,0.98,0.98,25.44,0.37,0.05
svm knn rf,breast_cancer,0.98,0.98,0.97,0.98,76.57,0.85,0.12
svm knn rf,breast_cancer,0.98,0.98,0.97,0.98,76.69,0.97,0.12
svm knn rf,breast_cancer,0.98,0.98,0.97,0.98,76.75,0.98,0.12
svm knn rf,horse,0.93,0.92,0.94,0.93,33.24,0.81,0.06
svm knn rf,horse,0.92,0.91,0.91,0.91,33.18,0.74,0.06
svm knn rf,horse,0.93,0.92,0.94,0.93,33.19,0.73,0.06
svm knn rf,hr,0.97,0.98,0.94,0.96,336.28,6.09,0.48
svm knn rf,hr,0.97,0.98,0.94,0.96,333.75,2.43,0.48
svm knn rf,hr,0.97,0.98,0.94,0.96,336.72,7.06,0.48
svm knn rf,english,0.52,0.51,0.55,0.51,10.01,0.25,0.04
svm knn rf,english,0.52,0.51,0.55,0.52,10.01,0.27,0.04
svm knn rf,english,0.52,0.51,0.55,0.52,10.01,0.25,0.04
svm knn rf,phishing,0.89,0.85,0.78,0.80,123.91,1.75,0.25
svm knn rf,phishing,0.89,0.85,0.82,0.83,124.35,1.68,0.25
svm knn rf,phishing,0.88,0.82,0.78,0.80,124.57,1.52,0.25
svm knn rf,wine,0.61,0.42,0.28,0.30,394.59,8.11,1.45
svm knn rf,wine,0.61,0.49,0.30,0.32,394.95,6.73,1.47
