algs,dataset,accuracy,precision,recall,fscore,cv_mean,cv_std,runtime
svm knn mnb,student,0.58,0.10,0.17,0.12,65.86,1.64,0.07
svm knn mnb,contraceptive,0.47,0.43,0.39,0.37,111.95,1.60,0.15
svm knn mnb,autism,0.99,1.00,0.99,0.99,85.59,0.22,0.07
svm knn mnb,bankruptcy,0.98,0.98,0.98,0.98,25.38,0.47,0.02
svm knn mnb,breast_cancer,0.97,0.97,0.96,0.97,76.63,0.88,0.05
svm knn mnb,horse,0.88,0.87,0.88,0.87,33.08,0.71,0.03
svm knn mnb,hr,0.84,0.90,0.62,0.65,333.53,1.72,0.23
svm knn mnb,english,0.45,0.43,0.50,0.44,10.01,0.25,0.02
svm knn mnb,phishing,0.84,0.56,0.61,0.58,124.37,1.59,0.11
svm knn mnb,wine,0.50,0.17,0.18,0.16,393.25,7.16,0.94
svm knn mnb,congress,0.84,0.86,0.78,0.80,24.22,0.67,0.03
svm knn rf,student,0.69,0.55,0.28,0.30,66.16,2.55,0.14
svm knn rf,contraceptive,0.46,0.40,0.40,0.39,110.80,1.40,0.29
svm knn rf,autism,0.99,1.00,0.99,0.99,85.87,0.20,0.13
svm knn rf,bankruptcy,0.98,0.98,0.98,0.98,25.44,0.36,0.05
svm knn rf,breast_cancer,0.97,0.97,0.96,0.97,76.63,1.01,0.12
svm knn rf,horse,0.93,0.92,0.94,0.93,33.02,0.89,0.06
svm knn rf,hr,0.97,0.98,0.95,0.96,340.81,16.53,0.47
svm knn rf,english,0.55,0.55,0.58,0.55,10.01,0.25,0.04
svm knn rf,phishing,0.89,0.83,0.79,0.81,124.40,1.63,0.24
svm knn rf,wine,0.61,0.44,0.29,0.31,391.73,6.99,1.43
svm knn rf,congress,0.84,0.86,0.78,0.80,24.29,0.88,0.06
svm knn mlp,student,0.62,0.37,0.24,0.26,65.75,2.05,0.43
svm knn mlp,contraceptive,0.54,0.50,0.49,0.49,111.40,1.28,0.66
svm knn mlp,autism,0.99,1.00,0.99,0.99,85.50,0.03,0.38
svm knn mlp,bankruptcy,0.98,0.98,0.98,0.98,25.47,0.33,0.13
svm knn mlp,breast_cancer,0.97,0.97,0.96,0.97,76.75,1.12,0.32
svm knn mlp,horse,0.88,0.87,0.88,0.87,33.19,0.87,0.11
svm knn mlp,hr,0.97,0.96,0.94,0.95,336.06,6.58,1.23
svm knn mlp,english,0.52,0.52,0.54,0.52,10.01,0.25,0.10
svm knn mlp,phishing,0.85,0.76,0.66,0.67,123.71,1.59,0.71
svm knn mlp,wine,0.56,0.33,0.23,0.23,394.53,4.54,2.55
svm knn mlp,congress,0.66,0.63,0.64,0.64,24.77,0.41,0.04
svm mnb rf,student,0.59,0.26,0.18,0.15,65.99,1.70,0.11
svm mnb rf,contraceptive,0.49,0.45,0.41,0.39,111.30,1.55,0.22
svm mnb rf,autism,0.99,1.00,0.99,0.99,85.59,0.22,0.09
svm mnb rf,bankruptcy,1.00,1.00,1.00,1.00,25.41,0.42,0.04
svm mnb rf,breast_cancer,0.95,0.96,0.93,0.94,76.69,1.03,0.09
svm mnb rf,horse,0.88,0.87,0.88,0.87,33.29,0.71,0.05
svm mnb rf,hr,0.84,0.92,0.63,0.66,338.38,11.14,0.35
svm mnb rf,english,0.48,0.48,0.51,0.49,10.01,0.24,0.03
svm mnb rf,phishing,0.84,0.57,0.61,0.59,123.60,1.54,0.18
svm mnb rf,wine,0.53,0.20,0.19,0.17,395.39,6.98,1.16
svm mnb rf,congress,0.95,0.95,0.95,0.95,24.41,1.07,0.05
svm mnb mlp,student,0.58,0.10,0.17,0.12,66.22,1.86,0.41
svm mnb mlp,contraceptive,0.53,0.50,0.48,0.48,111.26,1.69,0.72
svm mnb mlp,autism,0.99,0.99,0.97,0.98,85.59,0.22,0.35
svm mnb mlp,bankruptcy,0.92,0.92,0.92,0.92,25.47,0.33,0.12
svm mnb mlp,breast_cancer,0.96,0.96,0.94,0.95,76.69,1.03,0.31
svm mnb mlp,horse,0.87,0.85,0.86,0.86,33.30,0.84,0.19
svm mnb mlp,hr,0.84,0.90,0.63,0.66,336.28,6.08,1.17
svm mnb mlp,english,0.48,0.48,0.51,0.49,10.03,0.22,0.09
svm mnb mlp,phishing,0.85,0.56,0.61,0.59,124.42,1.67,0.65
svm mnb mlp,wine,0.51,0.30,0.19,0.18,393.88,10.90,2.08
svm mnb mlp,congress,0.84,0.86,0.78,0.80,23.80,0.90,0.03
svm rf mlp,student,0.74,0.80,0.61,0.65,65.93,2.09,0.46
svm rf mlp,contraceptive,0.53,0.50,0.48,0.49,111.77,1.34,0.58
svm rf mlp,autism,1.00,1.00,1.00,1.00,85.69,0.41,0.43
svm rf mlp,bankruptcy,0.98,0.98,0.98,0.98,25.41,0.42,0.15
svm rf mlp,breast_cancer,0.97,0.97,0.96,0.97,76.57,0.92,0.37
svm rf mlp,horse,0.88,0.87,0.89,0.88,33.08,1.05,0.18
svm rf mlp,hr,0.98,0.99,0.97,0.98,334.96,5.51,1.38
svm rf mlp,english,0.52,0.52,0.54,0.52,10.01,0.23,0.11
svm rf mlp,phishing,0.87,0.80,0.72,0.74,123.91,1.90,0.80
svm rf mlp,wine,0.55,0.31,0.23,0.24,394.71,7.62,2.56
svm rf mlp,congress,0.86,0.91,0.80,0.83,23.99,1.09,0.06
knn mnb rf,student,0.71,0.64,0.38,0.41,66.12,1.82,0.12
knn mnb rf,contraceptive,0.46,0.42,0.39,0.38,111.17,1.26,0.25
knn mnb rf,autism,0.99,1.00,0.99,0.99,85.59,0.22,0.13
knn mnb rf,bankruptcy,1.00,1.00,1.00,1.00,25.47,0.33,0.05
knn mnb rf,breast_cancer,0.95,0.96,0.93,0.94,76.63,0.93,0.12
knn mnb rf,horse,0.92,0.91,0.91,0.91,33.24,0.74,0.06
knn mnb rf,hr,0.98,0.99,0.94,0.96,335.63,6.24,0.42
knn mnb rf,english,0.48,0.48,0.54,0.46,10.00,0.27,0.04
knn mnb rf,phishing,0.89,0.84,0.81,0.82,124.00,1.79,0.22
knn mnb rf,wine,0.62,0.46,0.29,0.31,395.17,8.01,0.87
knn mnb rf,congress,0.93,0.93,0.92,0.92,23.76,0.69,0.06
knn mnb mlp,student,0.62,0.36,0.24,0.25,66.16,1.39,0.41
knn mnb mlp,contraceptive,0.50,0.47,0.43,0.42,111.81,1.63,0.61
knn mnb mlp,autism,0.99,0.99,0.97,0.98,85.69,0.41,0.37
knn mnb mlp,bankruptcy,0.78,0.82,0.79,0.78,25.47,0.33,0.13
knn mnb mlp,breast_cancer,0.96,0.96,0.94,0.95,76.51,0.83,0.32
knn mnb mlp,horse,0.88,0.87,0.88,0.87,33.24,0.83,0.18
knn mnb mlp,hr,0.97,0.96,0.94,0.95,334.74,3.97,1.12
