algs,dataset,accuracy,precision,recall,fscore,cv_mean,cv_std,runtime
svm knn mnb,student,0.58,0.10,0.17,0.12,65.47,1.73,0.13
svm knn mnb,student,0.58,0.10,0.17,0.12,65.43,1.77,0.12
svm knn mnb,student,0.58,0.10,0.17,0.12,65.13,2.02,0.12
svm knn mnb,contraceptive,0.49,0.48,0.44,0.44,110.15,1.04,0.25
svm knn mnb,contraceptive,0.49,0.48,0.44,0.44,110.30,0.73,0.24
svm knn mnb,contraceptive,0.49,0.48,0.44,0.44,109.99,1.00,0.24
svm knn mnb,autism,0.99,1.00,0.99,0.99,85.59,0.22,0.08
svm knn mnb,autism,0.99,1.00,0.99,0.99,85.78,0.40,0.08
svm knn mnb,autism,0.99,1.00,0.99,0.99,85.59,0.36,0.08
svm knn mnb,bankruptcy,0.98,0.98,0.98,0.98,25.38,0.47,0.03
svm knn mnb,bankruptcy,0.98,0.98,0.98,0.98,25.47,0.33,0.03
svm knn mnb,bankruptcy,0.98,0.98,0.98,0.98,25.29,0.58,0.04
svm knn mnb,breast_cancer,0.97,0.97,0.96,0.97,76.69,0.96,0.07
svm knn mnb,breast_cancer,0.97,0.97,0.96,0.97,76.57,0.85,0.07
svm knn mnb,breast_cancer,0.97,0.97,0.96,0.97,76.57,0.91,0.07
svm knn mnb,horse,0.88,0.87,0.88,0.87,33.13,0.70,0.04
svm knn mnb,horse,0.88,0.87,0.88,0.87,33.30,0.84,0.04
svm knn mnb,horse,0.88,0.87,0.88,0.87,33.13,0.79,0.04
svm knn mnb,hr,0.84,0.90,0.62,0.65,335.73,5.94,0.37
svm knn mnb,hr,0.84,0.90,0.62,0.65,338.49,11.64,0.37
svm knn mnb,hr,0.84,0.90,0.62,0.65,333.97,3.39,0.37
svm knn mnb,english,0.45,0.43,0.50,0.44,10.02,0.23,0.03
svm knn mnb,english,0.45,0.43,0.50,0.44,10.01,0.24,0.03
svm knn mnb,english,0.45,0.43,0.50,0.44,10.01,0.25,0.03
svm knn mnb,phishing,0.87,0.85,0.72,0.76,123.24,1.43,0.16
svm knn mnb,phishing,0.87,0.85,0.72,0.76,123.11,1.67,0.16
svm knn mnb,phishing,0.87,0.85,0.72,0.76,123.79,1.52,0.16
svm knn mnb,wine,0.51,0.38,0.20,0.20,393.12,4.88,1.91
svm knn mnb,wine,0.51,0.38,0.20,0.20,391.55,6.88,1.89
svm knn mnb,wine,0.51,0.38,0.20,0.20,392.02,5.24,1.89
svm knn mnb,congress,0.84,0.86,0.78,0.80,23.90,0.78,0.05
svm knn mnb,congress,0.84,0.86,0.78,0.80,24.27,0.83,0.05
svm knn mnb,congress,0.84,0.86,0.78,0.80,23.89,0.71,0.05
svm knn rf,student,0.75,0.58,0.37,0.41,65.09,1.72,0.21
svm knn rf,student,0.75,0.65,0.45,0.50,64.94,1.41,0.21
svm knn rf,student,0.76,0.79,0.47,0.54,65.69,2.04,0.22
svm knn rf,contraceptive,0.50,0.47,0.45,0.45,110.53,1.56,0.41
svm knn rf,contraceptive,0.49,0.46,0.45,0.45,110.35,1.61,0.42
svm knn rf,contraceptive,0.49,0.44,0.44,0.44,110.34,0.81,0.42
svm knn rf,autism,0.99,1.00,0.99,0.99,85.69,0.50,0.17
