algs,dataset,accuracy,precision,recall,fscore,cv_mean,cv_std,runtime
svm knn mnb,student,0.58,0.10,0.17,0.12,65.68,1.56,0.13
svm knn mnb,contraceptive,0.49,0.48,0.44,0.44,110.30,1.69,0.24
svm knn mnb,autism,0.99,1.00,0.99,0.99,85.50,0.29,0.08
svm knn mnb,bankruptcy,0.98,0.98,0.98,0.98,25.47,0.33,0.04
svm knn mnb,breast_cancer,0.97,0.97,0.96,0.97,76.69,1.12,0.07
svm knn mnb,horse,0.88,0.87,0.88,0.87,33.24,0.74,0.04
svm knn mnb,hr,0.84,0.90,0.62,0.65,334.08,3.26,0.37
svm knn mnb,english,0.45,0.43,0.50,0.44,10.01,0.25,0.03
svm knn mnb,phishing,0.87,0.85,0.72,0.76,123.24,1.32,0.16
svm knn mnb,wine,0.51,0.38,0.20,0.20,395.48,7.31,1.97
svm knn mnb,congress,0.84,0.86,0.78,0.80,24.36,1.17,0.05
svm knn rf,student,0.76,0.79,0.47,0.54,65.67,1.91,0.22
svm knn rf,contraceptive,0.48,0.44,0.43,0.43,110.38,1.40,0.42
svm knn rf,autism,0.99,1.00,0.99,0.99,85.87,0.38,0.18
svm knn rf,bankruptcy,0.98,0.98,0.98,0.98,25.49,0.37,0.09
svm knn rf,breast_cancer,0.98,0.98,0.97,0.98,76.57,0.85,0.17
svm knn rf,horse,0.92,0.91,0.91,0.91,33.35,0.85,0.10
svm knn rf,hr,0.98,0.98,0.95,0.96,337.83,10.33,0.67
svm knn rf,english,0.58,0.59,0.61,0.59,10.01,0.24,0.07
svm knn rf,phishing,0.89,0.84,0.82,0.82,123.77,1.73,0.32
svm knn rf,wine,0.63,0.50,0.31,0.35,393.39,6.83,2.64
svm knn rf,congress,0.84,0.86,0.78,0.80,23.43,1.17,0.10
svm knn mlp,student,0.62,0.34,0.27,0.28,65.41,1.48,1.20
svm knn mlp,contraceptive,0.53,0.50,0.49,0.49,109.80,1.41,1.86
svm knn mlp,autism,0.99,1.00,0.99,0.99,85.78,0.38,1.06
